adduser	3.137ubuntu1
libglvnd-dev:amd64	1.7.0-1build1
libglvnd0:amd64	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error-l10n	1.47-3build2
libgpg-error0:amd64	1.47-3build2
libgphoto2-6t64:amd64	2.5.31-2.1ubuntu1.1
libgphoto2-dev:amd64	2.5.31-2.1ubuntu1.1
libgphoto2-l10n	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64:amd64	2.5.31-2.1ubuntu1.1
libgpm2:amd64	1.20.7-11
libgprofng0:amd64	2.42-4ubuntu2.8
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgsm1:amd64	1.0.22-1build1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.7
libgssrpc4t64:amd64	1.20.1-6ubuntu2.7
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgtest-dev:amd64	1.14.0-1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.2
libgtk-3-bin	3.24.41-4ubuntu1.2
libgtk-3-common	3.24.41-4ubuntu1.2
libgts-0.7-5t64:amd64	0.7.6+darcs121130-5.2build1
libgts-bin	0.7.6+darcs121130-5.2build1
libgts-dev:amd64	0.7.6+darcs121130-5.2build1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgvc6	2.42.2-9ubuntu0.1
libgvpr2:amd64	2.42.2-9ubuntu0.1
libharfbuzz0b:amd64	8.3.0-2build2
libhdf4-0-alt:amd64	4.2.16-4build1
libhdf4-alt-dev	4.2.16-4build1
libhdf5-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-cpp-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-dev	1.10.10+repack-3.1ubuntu4
libhdf5-fortran-102t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-cpp-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-fortran-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-mpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-cpp-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-fortran-102t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-cpp-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-fortran-100t64:amd64	1.10.10+repack-3.1ubuntu4
libheif-dev:amd64	1.17.6-1ubuntu4.6
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.6
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.6
libheif1:amd64	1.17.6-1ubuntu4.6
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhsa-runtime64-1	5.7.1-2build1
libhsakmt1:amd64	5.7.0-1build1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwloc-dev:amd64	2.10.0-1build1
libhwloc-plugins:amd64	2.10.0-1build1
libhwloc15:amd64	2.10.0-1build1
libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libibus-1.0-5:amd64	1.5.29-2
libibus-1.0-dev:amd64	1.5.29-2
libibverbs-dev:amd64	50.0-2ubuntu0.2
libibverbs1:amd64	50.0-2ubuntu0.2
libice-dev:amd64	2:1.0.10-1build3
libice6:amd64	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1
libiec61883-0:amd64	1.2.0-6build1
libigdgmm12:amd64	22.3.17+ds1-1ubuntu1
libimagequant0:amd64	2.18.0-1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimath-dev:amd64	3.1.9-3.1ubuntu2
libinput-bin	1.25.0-1ubuntu3.4
libinput10:amd64	1.25.0-1ubuntu3.4
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjbig-dev:amd64	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2
libjpeg-dev:amd64	8c-2ubuntu11
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjpeg8-dev:amd64	8c-2ubuntu11
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-hotkeys	0~20130707+git2d51e3a9+dfsg-2ubuntu2
libjs-jquery-isonscreen	1.2.0-1.1
libjs-jquery-metadata	12-4
libjs-jquery-tablesorter	1:2.31.3+dfsg1-3
libjs-jquery-throttle-debounce	1.1+dfsg.1-2
libjs-jquery-ui	1.13.2+dfsg-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c-dev:amd64	0.17-1build1
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsoncpp-dev:amd64	1.9.5-6build1
libjsoncpp25:amd64	1.9.5-6build1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.7
libkadm5clnt-mit12:amd64	1.20.1-6ubuntu2.7
libkadm5srv-mit12:amd64	1.20.1-6ubuntu2.7
libkdb5-10t64:amd64	1.20.1-6ubuntu2.7
libkeyutils1:amd64	1.6.3-3build1
libkml-dev:amd64	1.3.0-12build1
libkmlbase1t64:amd64	1.3.0-12build1
libkmlconvenience1t64:amd64	1.3.0-12build1
libkmldom1t64:amd64	1.3.0-12build1
libkmlengine1t64:amd64	1.3.0-12build1
libkmlregionator1t64:amd64	1.3.0-12build1
libkmlxsd1t64:amd64	1.3.0-12build1
libkmod2:amd64	31+20240202-2ubuntu7.2
libkrb5-3:amd64	1.20.1-6ubuntu2.7
libkrb5-dev:amd64	1.20.1-6ubuntu2.7
libkrb5support0:amd64	1.20.1-6ubuntu2.7
libksba8:amd64	1.6.6-1build1
liblab-gamut1:amd64	2.42.2-9ubuntu0.1
liblapack-dev:amd64	3.12.0-3build1.1
liblapack3:amd64	3.12.0-3build1.1
liblbfgsb0:amd64	3.0+dfsg.4-1build1
liblcms2-2:amd64	2.14-2ubuntu0.1
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.1
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.1
liblept5:amd64	1.82.0-3build4
liblerc-dev:amd64	4.0.0+ds-4ubuntu2
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblilv-0-0:amd64	0.24.22-1build1
libllvm15t64:amd64	1:15.0.7-14build3
libllvm17t64:amd64	1:17.0.6-9ubuntu1
libllvm18:amd64	1:18.1.3-1ubuntu1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblocale-gettext-perl	1.07-6ubuntu5
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
libltdl-dev:amd64	2.4.7-7build1
libltdl7:amd64	2.4.7-7build1
liblttng-ctl0t64:amd64	2.13.11-2.1build4
liblttng-ust-common1t64:amd64	2.13.7-1.1ubuntu2
liblttng-ust-ctl5t64:amd64	2.13.7-1.1ubuntu2
liblttng-ust-dev:amd64	2.13.7-1.1ubuntu2
liblttng-ust-python-agent1t64:amd64	2.13.7-1.1ubuntu2
liblttng-ust1t64:amd64	2.13.7-1.1ubuntu2
liblz4-1:amd64	1.9.4-1build1.1
liblz4-dev:amd64	1.9.4-1build1.1
liblzma-dev:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:amd64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd-dev:amd64	1.1.0-2build1.1
libmd0:amd64	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libminizip-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
libminizip1t64:amd64	1:1.3.dfsg-3.1ubuntu2.1
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmount-dev:amd64	2.39.3-9ubuntu6.5
libmount1:amd64	2.39.3-9ubuntu6.5
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmtdev1t64:amd64	1.1.6-1.1build1
libmunge2:amd64	0.5.15-4ubuntu0.1
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libmysqlclient-dev	8.0.46-0ubuntu0.24.04.3
libmysqlclient21:amd64	8.0.46-0ubuntu0.24.04.3
libncurses6:amd64	6.4+20240113-1ubuntu2.1
libncursesw6:amd64	6.4+20240113-1ubuntu2.1
libnetcdf-dev	1:4.9.2-5ubuntu4
libnetcdf19t64:amd64	1:4.9.2-5ubuntu4
libnetplan1:amd64	1.0.1-1ubuntu2~24.04.1
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-3-dev:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-dev:amd64	3.7.0-0.3build1.1
libnorm-dev:amd64	1.5.9+dfsg-3.1build1
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-systemd:amd64	255.4-1ubuntu8.17
libnss3:amd64	2:3.98-1ubuntu0.2
libnuma-dev:amd64	2.0.18-1ubuntu0.24.04.1
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
liboctomap-dev:amd64	1.9.7+dfsg-3.1build3
liboctomap1.9t64:amd64	1.9.7+dfsg-3.1build3
libodbc2:amd64	2.3.12-1ubuntu0.24.04.1
libodbccr2:amd64	2.3.12-1ubuntu0.24.04.1
libodbcinst2:amd64	2.3.12-1ubuntu0.24.04.1
libode-dev	2:0.16.2-1.1build1
libode8t64	2:0.16.2-1.1build1
libogdi-dev	4.1.1+ds-3build1
libogdi4.1:amd64	4.1.1+ds-3build1
libogg-dev:amd64	1.3.5-3build1
libogg0:amd64	1.3.5-3build1
libogre-1.9-dev	1.9.0+dfsg1-14.1build2
libogre-1.9.0t64:amd64	1.9.0+dfsg1-14.1build2
libomp-18-dev	1:18.1.3-1ubuntu1
libomp-dev:amd64	1:18.0-59~exp2
libomp5-18:amd64	1:18.1.3-1ubuntu1
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopencv-calib3d-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-calib3d406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-core-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-core406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-java	4.6.0+dfsg-13.1ubuntu1
libopencv-ml-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-ml406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-superres-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-superres406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-video-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-video406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz-dev:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz406t64:amd64	4.6.0+dfsg-13.1ubuntu1
libopencv406-jni	4.6.0+dfsg-13.1ubuntu1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopenexr-dev	3.1.5-5.1build3
libopengl-dev:amd64	1.7.0-1build1
libopengl0:amd64	1.7.0-1build1
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenjp2-7-dev:amd64	2.5.0-2ubuntu0.5
libopenmpi-dev:amd64	4.1.6-7ubuntu2
libopenmpi3t64:amd64	4.1.6-7ubuntu2
libopenmpt0t64:amd64	0.7.3-1.1build3
libopenni-dev:amd64	1.5.4.0+dfsg-7.1build1
libopenni-sensor-pointclouds0	5.1.0.41.11-1build2
libopenni0t64	1.5.4.0+dfsg-7.1build1
libopenni2-0:amd64	2.2.0.33+dfsg-18
libopenni2-dev:amd64	2.2.0.33+dfsg-18
libopus0:amd64	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
liborocos-kdl-dev:amd64	1.5.1-4build1
liborocos-kdl1.5:amd64	1.5.1-4build1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.5
libpam-cap:amd64	1:2.66-5ubuntu2.4
libpam-modules:amd64	1.5.3-5ubuntu5.6
libpam-modules-bin	1.5.3-5ubuntu5.6
libpam-runtime	1.5.3-5ubuntu5.6
libpam-systemd:amd64	255.4-1ubuntu8.17
libpam0g:amd64	1.5.3-5ubuntu5.6
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:amd64	1.1.29build1
libpathplan4:amd64	2.42.2-9ubuntu0.1
libpcap0.8t64:amd64	1.10.4-4.1ubuntu3
libpciaccess-dev:amd64	0.17-3ubuntu0.24.04.2
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcl-apps1.14:amd64	1.14.0+dfsg-1
libpcl-common1.14:amd64	1.14.0+dfsg-1
libpcl-dev	1.14.0+dfsg-1
libpcl-features1.14:amd64	1.14.0+dfsg-1
libpcl-filters1.14:amd64	1.14.0+dfsg-1
libpcl-io1.14:amd64	1.14.0+dfsg-1
libpcl-kdtree1.14:amd64	1.14.0+dfsg-1
libpcl-keypoints1.14:amd64	1.14.0+dfsg-1
libpcl-ml1.14:amd64	1.14.0+dfsg-1
libpcl-octree1.14:amd64	1.14.0+dfsg-1
libpcl-outofcore1.14:amd64	1.14.0+dfsg-1
libpcl-people1.14:amd64	1.14.0+dfsg-1
libpcl-recognition1.14:amd64	1.14.0+dfsg-1
libpcl-registration1.14:amd64	1.14.0+dfsg-1
libpcl-sample-consensus1.14:amd64	1.14.0+dfsg-1
libpcl-search1.14:amd64	1.14.0+dfsg-1
libpcl-segmentation1.14:amd64	1.14.0+dfsg-1
libpcl-stereo1.14:amd64	1.14.0+dfsg-1
libpcl-surface1.14:amd64	1.14.0+dfsg-1
libpcl-tracking1.14:amd64	1.14.0+dfsg-1
libpcl-visualization1.14:amd64	1.14.0+dfsg-1
libpcre16-3:amd64	2:8.39-15build1
libpcre2-16-0:amd64	10.42-4ubuntu2.1
libpcre2-32-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcre2-dev:amd64	10.42-4ubuntu2.1
libpcre2-posix3:amd64	10.42-4ubuntu2.1
libpcre3:amd64	2:8.39-15build1
libpcre3-dev:amd64	2:8.39-15build1
libpcre32-3:amd64	2:8.39-15build1
libpcrecpp0v5:amd64	2:8.39-15build1
libpcsclite1:amd64	2.0.3-1build1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.3
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libpgm-dev:amd64	5.3.128~dfsg-2.1build1
libpipeline1:amd64	1.5.7-2
libpixman-1-0:amd64	0.42.2-1build1
libpkgconf3:amd64	1.8.1-2build1
libplacebo338:amd64	6.338.2-2build1
libpmix-dev:amd64	5.0.1-4.1build1
libpmix2t64:amd64	5.0.1-4.1build1
libpng-dev:amd64	1.6.43-5ubuntu0.6
libpng-tools	1.6.43-5ubuntu0.6
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpoco-dev:amd64	1.11.0-4.1build2
libpocoactiverecord80t64:amd64	1.11.0-4.1build2
libpococrypto80t64:amd64	1.11.0-4.1build2
libpocodata80t64:amd64	1.11.0-4.1build2
libpocodatamysql80t64:amd64	1.11.0-4.1build2
libpocodataodbc80t64:amd64	1.11.0-4.1build2
libpocodatapostgresql80t64:amd64	1.11.0-4.1build2
libpocodatasqlite80t64:amd64	1.11.0-4.1build2
libpocoencodings80t64:amd64	1.11.0-4.1build2
libpocofoundation80t64:amd64	1.11.0-4.1build2
libpocojson80t64:amd64	1.11.0-4.1build2
libpocojwt80t64:amd64	1.11.0-4.1build2
libpocomongodb80t64:amd64	1.11.0-4.1build2
libpoconet80t64:amd64	1.11.0-4.1build2
libpoconetssl80t64:amd64	1.11.0-4.1build2
libpocoredis80t64:amd64	1.11.0-4.1build2
libpocoutil80t64:amd64	1.11.0-4.1build2
libpocoxml80t64:amd64	1.11.0-4.1build2
libpocozip80t64:amd64	1.11.0-4.1build2
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.3
libpoppler-dev:amd64	24.02.0-1ubuntu9.9
libpoppler-private-dev:amd64	24.02.0-1ubuntu9.9
libpoppler134:amd64	24.02.0-1ubuntu9.9
libpopt0:amd64	1.19+dfsg-1build1
libpostproc-dev:amd64	7:6.1.1-3ubuntu5
libpostproc57:amd64	7:6.1.1-3ubuntu5
libpq-dev	16.14-0ubuntu0.24.04.1
libpq5:amd64	16.14-0ubuntu0.24.04.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libproj-dev:amd64	9.4.0-1build2
libproj25:amd64	9.4.0-1build2
libprotobuf-dev:amd64	3.21.12-8.2ubuntu0.3
libprotobuf-lite32t64:amd64	3.21.12-8.2ubuntu0.3
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.3
libprotoc-dev:amd64	3.21.12-8.2ubuntu0.3
libprotoc32t64:amd64	3.21.12-8.2ubuntu0.3
libproxy1v5:amd64	0.5.4-4build1
libpsl5t64:amd64	0.21.2-1.1build1
libpsm-infinipath1	3.3+20.604758e7-6.3build1
libpsm2-2	11.2.185-2build1
libpthread-stubs0-dev:amd64	0.4-1build3
libpugixml-dev:amd64	1.14-0.1build1
libpugixml1v5:amd64	1.14-0.1build1
libpulse-dev:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse-mainloop-glib0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpyside2-dev	5.15.13-1
libpyside2-py3-5.15t64	5.15.13-1
libpython3-dev:amd64	3.12.3-0ubuntu2.1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-dev:amd64	3.12.3-1ubuntu0.15
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.15
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.15
libpython3.12t64:amd64	3.12.3-1ubuntu0.15
libqhull-dev:amd64	2020.2-6build1
libqhull-r8.0:amd64	2020.2-6build1
libqhull8.0:amd64	2020.2-6build1
libqhullcpp8.0:amd64	2020.2-6build1
libqmi-glib5:amd64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqrtr-glib0:amd64	1.2.2-1ubuntu4
libqt5charts5:amd64	5.15.13-1
libqt5concurrent5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5core5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5designer5:amd64	5.15.13-1
libqt5designercomponents5:amd64	5.15.13-1
libqt5gui5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5help5:amd64	5.15.13-1
libqt5location5:amd64	5.15.13+dfsg-1
libqt5location5-plugins:amd64	5.15.13+dfsg-1
libqt5network5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5opengl5-dev:amd64	5.15.13+dfsg-1ubuntu1
libqt5opengl5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5positioning5:amd64	5.15.13+dfsg-1
libqt5positioning5-plugins:amd64	5.15.13+dfsg-1
libqt5positioningquick5:amd64	5.15.13+dfsg-1
libqt5printsupport5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5qml5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlworkerscript5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quick5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickcontrols2-5:amd64	5.15.13+dfsg-1
libqt5quickparticles5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickshapes5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quicktemplates2-5:amd64	5.15.13+dfsg-1
libqt5quicktest5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickwidgets5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5sensors5:amd64	5.15.13-1
libqt5serialport5:amd64	5.15.13-1
libqt5sql5-sqlite:amd64	5.15.13+dfsg-1ubuntu1
libqt5sql5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5svg5:amd64	5.15.13-1
libqt5test5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5waylandclient5:amd64	5.15.13-1
libqt5waylandcompositor5:amd64	5.15.13-1
libqt5webchannel5:amd64	5.15.13-1
libqt5webkit5:amd64	5.212.0~alpha4-36
libqt5webkit5-dev:amd64	5.212.0~alpha4-36
libqt5widgets5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5xml5t64:amd64	5.15.13+dfsg-1ubuntu1
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librabbitmq4:amd64	0.11.0-1ubuntu0.1
libraqm0:amd64	0.10.1-1build1
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw1394-dev:amd64	2.1.2-2build3
libraw1394-tools	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.2
librdmacm1t64:amd64	50.0-2ubuntu0.2
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librist4:amd64	0.2.10+dfsg-2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librttopo-dev:amd64	1.1.0-3build2
librttopo1:amd64	1.1.0-3build2
librubberband2:amd64	3.3.0+dfsg-2build1
libruby:amd64	1:3.2~ubuntu1
libruby3.2:amd64	3.2.3-1ubuntu0.24.04.8
libsamplerate0:amd64	0.2.2-4build1
libsamplerate0-dev:amd64	0.2.2-4build1
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsdl2-2.0-0:amd64	2.30.0+dfsg-1ubuntu3.1
libsdl2-dev:amd64	2.30.0+dfsg-1ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libselinux1-dev:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol-dev:amd64	3.5-2build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libsframe1:amd64	2.42-4ubuntu2.8
libshaderc-dev:amd64	2023.8-1build1
libshaderc1:amd64	2023.8-1build1
libsharpyuv-dev:amd64	1.3.2-0.4build3
libsharpyuv0:amd64	1.3.2-0.4build3
libshiboken2-dev	5.15.13-1
libshiboken2-py3-5.15t64	5.15.13-1
libshine3:amd64	3.1.1-2build1
libsigc++-2.0-0v5:amd64	2.12.1-2
libsigsegv2:amd64	2.14-1ubuntu2
libslang2:amd64	2.3.3-3build2
libsm-dev:amd64	2:1.2.3-1build3
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsndio-dev:amd64	1.9.0-0.3build3
libsndio7.0:amd64	1.9.0-0.3build3
libsocket++1:amd64	1.12.13+git20131030.5d039ba-1build1
libsodium-dev:amd64	1.0.18-1ubuntu0.24.04.1
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsord-0-0:amd64	0.16.16-2build1
libsoup-3.0-0:amd64	3.4.4-5ubuntu0.7
